Name,Blood Group,Phone,District,Location,Postal Code,Donate,Request,Availability
Musfika Rifa,B+,171000108,Dhaka,Saver P.A.T.C,1343,36,53,0
Mushfiq Hasan,O-,171000109,Dhaka,Shimulia,1345,23,40,0
Nayem Ferdous,AB+,171000110,Dhaka,Dhaka Sadar HO,1100,34,51,1
Naina Kabir,B+,171000111,Dhaka,Gandaria TSO,1204,109,126,1
Nayema Rahman,B+,171000112,Dhaka,Wari TSO,1203,77,94,1
Niamul Hasan,AB-,171000113,Dhaka,Tejgaon TSO,1215,47,64,1
Noman Ahmed,O+,171000114,Dhaka,Dhaka Politechnic,1208,33,50,1
Osman Goni,AB+,171000115,Dhaka,Amin Bazar,1348,49,66,1
Rahmanul Karim,B-,171000116,Dhaka,Dairy Farm,1341,52,69,1
Rafat Meraz,A+,171000117,Dhaka,EPZ,1349,65,82,1
Rashik Rahman,O+,171000118,Dhaka,Jahangirnagar University,1342,64,81,1
Mehedi Ul Hasnain,B+,171000119,Dhaka,Kashem Cotton Mills,1346,20,37,1
